=== FINAL PPO Raw Training Data ===
Timestamp: 2025-09-04_13:27:26
Total Episodes: 50
Total Runtime: 33m 26s
Training Efficiency: 40.13 seconds per episode

=== Complete Raw Episode Data ===
Episode,Reward,CompletionRate(%)
0,193.2871,86.67
1,167.8315,76.67
2,185.0136,86.67
3,209.1956,86.67
4,180.0528,76.67
5,137.0851,73.33
6,155.8802,70.00
7,193.2634,86.67
8,164.5139,70.00
9,171.4034,80.00
10,218.9402,90.00
11,164.2631,80.00
12,170.1427,80.00
13,180.8720,73.33
14,170.5655,80.00
15,169.1889,70.00
16,171.1292,76.67
17,151.8876,66.67
18,183.1498,73.33
19,159.1599,70.00
20,157.8602,73.33
21,186.5528,83.33
22,149.4293,66.67
23,152.2841,66.67
24,180.2052,80.00
25,152.6069,63.33
26,140.1745,63.33
27,142.4664,60.00
28,196.2314,76.67
29,155.8829,73.33
30,161.2258,73.33
31,175.5146,76.67
32,205.8232,86.67
33,185.2224,80.00
34,161.5838,70.00
35,177.3262,76.67
36,190.4547,83.33
37,178.3605,86.67
38,162.1897,66.67
39,197.9316,83.33
40,183.6286,76.67
41,171.7164,76.67
42,214.8093,90.00
43,148.1815,66.67
44,203.9282,90.00
45,183.6217,80.00
46,184.0623,80.00
47,220.1959,90.00
48,189.7037,83.33
49,201.5866,80.00
