=== PPO Raw Episode Data ===
Training Started: 2025-09-04_10:10:37
Number of Environments: 30

Rewards env 1,Dones env 1,Rewards env 2,Dones env 2,Rewards env 3,Dones env 3,Rewards env 4,Dones env 4,Rewards env 5,Dones env 5,Rewards env 6,Dones env 6,Rewards env 7,Dones env 7,Rewards env 8,Dones env 8,Rewards env 9,Dones env 9,Rewards env 10,Dones env 10,Rewards env 11,Dones env 11,Rewards env 12,Dones env 12,Rewards env 13,Dones env 13,Rewards env 14,Dones env 14,Rewards env 15,Dones env 15,Rewards env 16,Dones env 16,Rewards env 17,Dones env 17,Rewards env 18,Dones env 18,Rewards env 19,Dones env 19,Rewards env 20,Dones env 20,Rewards env 21,Dones env 21,Rewards env 22,Dones env 22,Rewards env 23,Dones env 23,Rewards env 24,Dones env 24,Rewards env 25,Dones env 25,Rewards env 26,Dones env 26,Rewards env 27,Dones env 27,Rewards env 28,Dones env 28,Rewards env 29,Dones env 29,Rewards env 30,Dones env 30
22.817794,0,22.587480,0,22.330923,0,24.138411,0,24.368003,0,23.300665,0,23.906599,0,21.456207,0,20.176310,0,23.792293,0,22.628332,0,22.048975,0,22.930436,0,26.618818,0,27.591112,0,20.469045,0,25.721910,0,25.338674,0,20.499051,0,21.083185,0,24.678715,0,25.197560,0,22.566585,0,22.790218,0,21.003617,0,21.183678,0,27.395655,0,22.385433,0,21.562425,0,26.506928,0
23.818618,0,20.467631,0,23.098428,0,20.256601,0,21.826662,0,25.651843,0,23.469364,0,20.978053,0,22.506663,0,233.204449,1,125.040102,1,25.442333,0,23.487507,0,22.967133,0,22.319245,0,22.004587,0,23.165551,0,21.665348,0,22.085584,0,21.656747,0,22.529745,0,22.937370,0,21.569991,0,24.005312,0,22.534532,0,22.441226,0,21.454664,0,25.850750,0,25.161412,0,22.550852,0
23.965239,0,27.320978,0,25.968819,0,26.333907,0,24.456816,0,26.548169,0,31.258868,0,23.226780,0,21.270620,0,21.013429,0,24.924389,0,26.659245,0,22.113431,0,24.713618,0,23.065951,0,26.053429,0,24.836444,0,129.274084,1,27.226258,0,24.418882,0,21.845131,0,32.518412,0,20.168278,0,22.777432,0,21.219502,0,22.121368,0,26.346802,0,26.015203,0,21.294949,0,21.179768,0
21.628169,0,236.315024,1,24.005598,0,131.422857,1,128.253500,1,25.230815,0,25.713681,0,22.325802,0,25.918338,0,23.669875,0,24.875078,0,22.296190,0,27.408974,0,27.207082,0,24.286634,0,22.249203,0,25.545895,0,230.921250,1,26.987784,0,234.559342,1,23.903790,0,24.631616,0,336.092419,1,26.632387,0,20.179569,0,22.755947,0,24.938385,0,25.190750,0,24.250765,0,232.382084,1
26.753655,0,127.540202,1,23.616204,0,26.560230,0,20.669839,0,23.037272,0,20.636839,0,21.602930,0,26.180867,0,21.942678,0,34.203881,0,20.552172,0,24.543708,0,37.153320,0,133.866151,1,25.180801,0,336.454351,1,21.886940,0,22.097992,0,21.207817,0,26.472487,0,22.118170,0,25.322689,0,24.156768,0,20.626857,0,23.420554,0,24.703642,0,23.585600,0,336.568769,1,21.431495,0
25.050351,0,26.339189,0,30.199373,0,23.256034,0,22.320536,0,234.767565,1,21.145831,0,23.533509,0,24.626007,0,25.771022,0,21.677896,0,336.458129,1,33.211317,0,25.922525,0,26.529937,0,25.665601,0,24.017766,0,129.237783,1,23.200441,0,26.166084,0,22.013123,0,336.675176,1,25.441669,0,24.140696,0,22.387489,0,20.761650,0,21.097612,0,24.780028,0,232.011709,1,26.694998,0
21.657965,0,26.821203,0,22.686862,0,20.543884,0,21.433846,0,25.637028,0,24.889603,0,23.560453,0,23.919747,0,20.499874,0,25.762216,0,20.530579,0,21.716021,0,24.650335,0,23.082299,0,25.031863,0,24.775502,0,22.313352,0,21.569425,0,22.105886,0,21.078797,0,27.757360,0,23.723287,0,24.550868,0,22.447386,0,21.691260,0,23.811439,0,24.333506,0,26.611494,0,20.586694,0
21.624801,0,21.940487,0,21.000715,0,22.347861,0,23.772737,0,24.213123,0,24.641933,0,22.089163,0,22.111854,0,27.303291,0,21.813032,0,21.573219,0,21.018507,0,21.626858,0,22.415156,0,27.052251,0,27.163129,0,24.606885,0,26.001506,0,27.199870,0,21.408805,0,21.604125,0,21.300312,0,21.958748,0,24.820586,0,21.519542,0,23.017333,0,21.783435,0,23.208297,0,24.470322,0
22.035654,0,23.820380,0,22.066997,0,25.409702,0,22.619529,0,26.709633,0,20.506685,0,26.699313,0,23.523206,0,26.263335,0,21.139340,0,25.999027,0,21.909609,0,20.964950,0,27.688853,0,24.508696,0,20.667035,0,22.772241,0,24.660500,0,21.873206,0,20.810629,0,21.122404,0,21.900600,0,22.475753,0,22.207469,0,27.292811,0,27.688184,0,21.779590,0,23.352341,0,22.719601,0
21.824076,0,23.647168,0,23.261185,0,24.637390,0,20.612452,0,21.617765,0,25.309606,0,21.426270,0,25.292360,0,23.850042,0,22.417139,0,27.194549,0,26.765170,0,23.098101,0,21.216797,0,27.236689,0,22.395756,0,21.996528,0,23.595807,0,22.055969,0,22.811144,0,25.940468,0,21.455857,0,26.835052,0,21.390648,0,24.661162,0,24.322398,0,22.068799,0,23.495113,0,20.013456,0
24.367151,0,21.858417,0,23.717447,0,25.285329,0,23.563561,0,27.490331,0,25.386330,0,22.820021,0,22.351517,0,28.254786,0,22.807176,0,27.587756,0,21.499579,0,25.255482,0,27.230761,0,22.311205,0,26.341516,0,23.252120,0,20.961698,0,22.553336,0,21.371263,0,20.590188,0,25.134299,0,22.982035,0,21.313309,0,20.873819,0,22.474355,0,26.582515,0,22.673149,0,21.079540,0
28.325472,0,24.689898,0,21.661038,0,24.145761,0,26.039956,0,23.412716,0,23.191098,0,23.341232,0,27.492032,0,26.911542,0,21.178823,0,20.951062,0,27.247191,0,22.511773,0,27.245417,0,25.881109,0,20.607786,0,23.184285,0,26.490411,0,22.854435,0,21.196836,0,26.744498,0,21.870494,0,21.139669,0,20.897656,0,21.841603,0,25.803173,0,24.926863,0,23.856967,0,22.919870,0
24.030187,0,23.956933,0,26.010912,0,24.755245,0,25.597965,0,21.692507,0,21.880767,0,22.770990,0,23.962587,0,21.902130,0,20.939690,0,26.464507,0,22.834040,0,21.838827,0,25.165906,0,21.107759,0,27.526887,0,21.565178,0,23.217645,0,20.068733,0,21.999557,0,23.899177,0,24.667587,0,26.080488,0,21.315206,0,21.243906,0,25.451639,0,22.772779,0,21.586628,0,22.539014,0
20.567177,0,21.291372,0,23.942148,0,20.221858,0,24.972915,0,19.791479,0,22.868762,0,21.413646,0,28.256194,0,21.441463,0,24.957908,0,23.910460,0,24.211170,0,27.914149,0,21.862177,0,22.077710,0,22.858116,0,22.295439,0,21.790655,0,26.832991,0,25.008835,0,27.257695,0,24.792016,0,21.989890,0,22.585676,0,20.602445,0,24.904447,0,21.951725,0,23.302489,0,22.219853,0
20.572461,0,27.395825,0,25.637257,0,20.446147,0,20.464514,0,22.565512,0,22.611936,0,21.172133,0,24.556586,0,22.776452,0,22.159675,0,22.093044,0,22.740507,0,23.641919,0,25.880267,0,27.424230,0,21.136798,0,21.548821,0,23.470807,0,26.587624,0,21.720309,0,21.602416,0,24.691689,0,21.271045,0,21.224859,0,23.526711,0,23.903100,0,23.722824,0,22.036199,0,23.136736,0
24.606388,0,25.544663,0,24.163288,0,20.909251,0,20.920822,0,22.110558,0,23.651502,0,20.757910,0,24.385727,0,23.909916,0,20.736786,0,27.284963,0,27.230765,0,25.043465,0,27.420459,0,23.051503,0,22.825763,0,26.120232,0,26.840747,0,27.487758,0,26.337233,0,22.579963,0,23.584228,0,22.282503,0,21.662069,0,21.109619,0,23.781483,0,21.709401,0,27.426050,0,22.412040,0
21.117066,0,26.963534,0,24.597068,0,25.336356,0,24.647874,0,22.673036,0,23.717077,0,21.746410,0,27.974832,0,21.416534,0,25.649073,0,20.710144,0,24.479214,0,22.667344,0,22.294421,0,24.934098,0,27.180178,0,21.865523,0,22.338761,0,21.779315,0,24.669499,0,23.023304,0,21.151818,0,26.655965,0,25.720536,0,24.755401,0,26.002235,0,26.949465,0,22.161927,0,20.565786,0
