=== PPO Raw Episode Data ===
Training Started: 2025-09-03_11:19:10
Number of Environments: 30

Rewards env 1,Dones env 1,Rewards env 2,Dones env 2,Rewards env 3,Dones env 3,Rewards env 4,Dones env 4,Rewards env 5,Dones env 5,Rewards env 6,Dones env 6,Rewards env 7,Dones env 7,Rewards env 8,Dones env 8,Rewards env 9,Dones env 9,Rewards env 10,Dones env 10,Rewards env 11,Dones env 11,Rewards env 12,Dones env 12,Rewards env 13,Dones env 13,Rewards env 14,Dones env 14,Rewards env 15,Dones env 15,Rewards env 16,Dones env 16,Rewards env 17,Dones env 17,Rewards env 18,Dones env 18,Rewards env 19,Dones env 19,Rewards env 20,Dones env 20,Rewards env 21,Dones env 21,Rewards env 22,Dones env 22,Rewards env 23,Dones env 23,Rewards env 24,Dones env 24,Rewards env 25,Dones env 25,Rewards env 26,Dones env 26,Rewards env 27,Dones env 27,Rewards env 28,Dones env 28,Rewards env 29,Dones env 29,Rewards env 30,Dones env 30
123.074979,1,29.292392,0,27.776110,0,310.404803,1,28.965884,0,22.401104,0,22.103474,0,26.622954,0,125.262302,1,27.615627,0,123.936444,1,24.728869,0,26.103927,0,29.242934,0,26.821481,0,27.916253,0,23.424094,0,33.290027,0,25.337665,0,24.424218,0,23.692767,0,31.800136,0,28.867565,0,23.677440,0,29.139187,0,26.127319,0,24.999199,0,28.552017,0,24.589426,0,26.872257,0
213.571718,1,25.158572,0,26.071698,0,25.822043,0,26.010173,0,32.849262,0,28.469050,0,26.245719,0,124.817752,1,27.695611,0,23.440963,0,25.083282,0,24.047760,0,26.814985,0,26.517352,0,28.711602,0,29.690771,0,24.269497,0,23.689815,0,25.973323,0,26.514471,0,28.233543,0,28.596549,0,22.871038,0,23.160678,0,25.697952,0,32.853129,0,26.392212,0,26.128705,0,29.404634,0
27.042010,0,26.278379,0,25.545971,0,23.706804,0,30.967912,0,29.407493,0,28.772279,0,34.085804,0,120.778959,1,26.406232,0,23.594716,0,23.631449,0,23.862984,0,25.839745,0,22.968029,0,29.064055,0,23.088772,0,217.015775,1,26.889408,0,23.776232,0,29.581673,0,32.431333,0,27.191533,0,27.797804,0,24.150808,0,28.091956,0,27.236985,0,29.493693,0,29.010871,0,26.973548,0
215.041264,1,214.885694,1,30.951687,0,28.669445,0,25.110834,0,22.994991,0,22.242139,0,26.920084,0,23.373138,0,28.338014,0,27.261022,0,24.788384,0,26.476518,0,25.031701,0,27.795604,0,29.000171,0,24.582449,0,28.517844,0,28.211590,0,27.298780,0,25.968803,0,24.688300,0,214.552917,1,24.528931,0,24.664714,0,22.223164,0,24.156992,0,29.467472,0,32.490731,0,128.558815,1
25.489903,0,24.704479,0,118.485403,1,29.327236,0,27.772187,0,22.597573,0,213.173487,1,24.407018,0,27.607929,0,30.943916,0,28.801730,0,22.484685,0,27.171402,0,26.328886,0,24.852286,0,22.296342,0,22.586648,0,31.512356,0,219.282662,1,26.341857,0,32.381114,0,26.775039,0,25.720516,0,213.359854,1,25.442367,0,24.685567,0,27.276198,0,123.549071,1,25.499836,0,31.506175,0
26.703499,0,26.350667,0,24.455972,0,24.613707,0,215.871080,1,309.501442,1,22.881135,0,28.206477,0,214.230313,1,215.820161,1,29.152737,0,29.449161,0,214.958484,1,29.083119,0,24.811652,0,29.497591,0,24.838598,0,29.457156,0,23.258089,0,213.957529,1,25.886645,0,32.895459,0,24.300006,0,28.608917,0,24.485267,0,26.852588,0,24.076148,0,23.586188,0,28.537112,0,34.166098,0
28.502475,0,27.840925,0,23.954270,0,28.999674,0,26.764640,0,24.218344,0,23.880315,0,213.612724,1,22.740230,0,25.494947,0,29.635466,0,29.782498,0,119.693033,1,213.619574,1,23.903662,0,23.540746,0,22.246575,0,214.934792,1,24.379705,0,23.630601,0,29.964779,0,23.100417,0,22.984645,0,27.161788,0,26.326103,0,309.847752,1,23.259206,0,309.485088,1,28.440136,0,21.977235,0
23.437682,0,23.282425,0,119.907471,1,22.982255,0,23.716681,0,38.245115,0,121.399838,1,120.393498,1,22.448540,0,26.434907,0,25.510018,0,26.203193,0,214.163869,1,22.876203,0,28.045394,0,28.184218,0,23.254349,0,215.847676,1,25.472299,0,28.302901,0,28.381534,0,33.563440,0,218.748235,1,23.200899,0,27.907368,0,120.093639,1,25.890016,0,25.218980,0,22.546076,0,22.953349,0
23.919900,0,310.450846,1,310.943226,1,214.875379,1,221.466929,1,28.184496,0,218.819742,1,214.163935,1,22.765073,0,23.629496,0,29.144219,0,219.102557,1,29.071066,0,24.491967,0,23.266432,0,23.228074,0,24.177723,0,24.699774,0,28.764738,0,27.967034,0,22.675787,0,24.810456,0,22.581271,0,26.454841,0,120.314407,1,23.644765,0,23.607666,0,24.707606,0,24.519827,0,22.203852,0
22.883221,0,32.409783,0,28.679923,0,28.234499,0,25.169168,0,29.930541,0,27.281056,0,24.480282,0,23.215408,0,25.788272,0,214.241147,1,23.352614,0,27.873982,0,118.549315,1,219.698297,1,24.215106,0,25.578918,0,24.679280,0,28.339653,0,26.018338,0,23.375757,0,218.186619,1,124.636338,1,22.851638,0,219.009482,1,22.486647,0,29.870851,0,29.010374,0,26.442187,0,123.912808,1
